quarter_end,quarter,year,region,market,total_subscriptions,subscription_penetration_%,subscriber_penetration,TAM,SOM
3/31/2023,Q1,2023,APAC,AU,15817547.27,0.07,1048590.54,2411758.24,1166557.45
3/31/2023,Q1,2023,APAC,BD,248498,0,0,0,0
3/31/2023,Q1,2023,APAC,BN,56345,0,0,0,0
3/31/2023,Q1,2023,APAC,HK,2105841,0.048793313,102750.9596,236327.207,124510.5716
3/31/2023,Q1,2023,APAC,ID,1414365,0.023532471,33283.50308,76552.05708,40553.33764
3/31/2023,Q1,2023,APAC,IN,24372880.29,0.030032744,731984.464,1683564.267,783774.5866
3/31/2023,Q1,2023,APAC,JP,19459008.22,0.018348335,357040.3978,821192.915,430083.6376
3/31/2023,Q1,2023,APAC,KR,12601091.18,0.018086845,227913.9783,524202.1501,310196.931
3/31/2023,Q1,2023,APAC,LK,179596,0,0,0,0
3/31/2023,Q1,2023,APAC,MY,1469262,0.017275319,25381.96998,58378.53096,28546.56389
3/31/2023,Q1,2023,APAC,NZ,2083629.026,0.065463598,136401.8521,313724.2599,143382.413
3/31/2023,Q1,2023,APAC,PH,4710157,0.034460559,162314.6453,373323.6842,194755.5301
3/31/2023,Q1,2023,APAC,PK,731625,0,0,0,0
3/31/2023,Q1,2023,APAC,SG,1128081.024,0.048326224,54515.89661,125386.5622,60914.89034
3/31/2023,Q1,2023,APAC,TH,2882283,0.02486518,71668.48575,164837.5172,92440.70154
3/31/2023,Q1,2023,APAC,TW,3261193.063,0.026991998,88026.11645,202460.0678,126430.8721
3/31/2023,Q1,2023,APAC,VN,3157226,0,0,0,0
3/31/2023,Q1,2023,EMEA,AE,2018144.968,0.050607078,102132.4189,234904.5636,120769.5391
3/31/2023,Q1,2023,EMEA,AL,41522.99893,0,0,0,0
3/31/2023,Q1,2023,EMEA,AT,2580915.003,0.050564858,130503.6015,300158.2834,129198.9217
3/31/2023,Q1,2023,EMEA,BA,110216.9972,0,0,0,0
3/31/2023,Q1,2023,EMEA,BE,3192326.001,0.055793124,178109.8413,409652.635,178282.4044
3/31/2023,Q1,2023,EMEA,BG,229070.9941,0.016788426,3845.741453,8845.205342,5600.620618
3/31/2023,Q1,2023,EMEA,BH,86254.99777,0,0,0,0
3/31/2023,Q1,2023,EMEA,CH,4055322.007,0.059289295,240437.1826,553005.5201,244454.913
3/31/2023,Q1,2023,EMEA,CY,208249.9946,0,0,0,0
3/31/2023,Q1,2023,EMEA,CZ,812429.9869,0.036681673,29801.29079,68542.96882,36493.50909
3/31/2023,Q1,2023,EMEA,DE,31590383.97,0.068751886,2171898.489,4995366.524,2253216.028
3/31/2023,Q1,2023,EMEA,DK,3074299.747,0.08122864,249721.1885,574358.7335,254058.0122
3/31/2023,Q1,2023,EMEA,DZ,210779.9946,0,0,0,0
3/31/2023,Q1,2023,EMEA,EE,203570.9947,0.018428723,3751.553461,8628.57296,6508.38496
3/31/2023,Q1,2023,EMEA,EG,445864.9897,0.020642906,9203.949175,21169.0831,9432.70694
3/31/2023,Q1,2023,EMEA,ES,15021673.53,0.056164555,843685.6071,1940476.896,990811.9924
3/31/2023,Q1,2023,EMEA,FI,2854507.953,0.052866367,150907.4657,347087.1711,172013.3489
3/31/2023,Q1,2023,EMEA,FR,23671038.16,0.077812196,1841895.47,4236359.58,2197981.052
3/31/2023,Q1,2023,EMEA,GB,39824443.65,0.075106871,2991089.364,6879505.537,3388971.628
3/31/2023,Q1,2023,EMEA,GH,115948.997,0,0,0,0
3/31/2023,Q1,2023,EMEA,GR,941261.9852,0.060376796,56830.3831,130709.8811,64510.15879
3/31/2023,Q1,2023,EMEA,HR,309709.992,0.017300076,5358.006525,12323.41501,5719.532037
3/31/2023,Q1,2023,EMEA,HU,802680.0134,0.052340611,42012.76273,96629.35428,42784.68531
3/31/2023,Q1,2023,EMEA,IE,1293645.988,0.062906405,81378.61795,187170.8213,92697.48008
3/31/2023,Q1,2023,EMEA,IL,859462.9778,0,0,0,0
3/31/2023,Q1,2023,EMEA,IQ,103135.9973,0,0,0,0
3/31/2023,Q1,2023,EMEA,IR,14788.99962,0,0,0,0
3/31/2023,Q1,2023,EMEA,IS,142386.9963,0.019986582,2845.829363,6545.407535,4893.434555
3/31/2023,Q1,2023,EMEA,IT,12306779.55,0.053207064,654807.6021,1506057.485,709406.2956
3/31/2023,Q1,2023,EMEA,JO,174895.9955,0,0,0,0
3/31/2023,Q1,2023,EMEA,KE,305891.9921,0,0,0,0
3/31/2023,Q1,2023,EMEA,KW,165523.9957,0,0,0,0
3/31/2023,Q1,2023,EMEA,LB,141627.9963,0,0,0,0
3/31/2023,Q1,2023,EMEA,LT,216568.9944,0.015744318,3409.73116,7842.381667,6092.335756
3/31/2023,Q1,2023,EMEA,LU,123766.9968,0,0,0,0
3/31/2023,Q1,2023,EMEA,LV,126474.9967,0.013978806,1767.96949,4066.329827,3641.734071
3/31/2023,Q1,2023,EMEA,MA,340582.9912,0,0,0,0
3/31/2023,Q1,2023,EMEA,MT,190556.9951,0,0,0,0
3/31/2023,Q1,2023,EMEA,NG,422778.9891,0,0,0,0
3/31/2023,Q1,2023,EMEA,NL,7691704.91,0.07872224,605508.2388,1392668.949,643483.5211
3/31/2023,Q1,2023,EMEA,NO,6205856.66,0.082775545,513693.1673,1181494.285,568860.5426
3/31/2023,Q1,2023,EMEA,OM,157249.9959,0,0,0,0
3/31/2023,Q1,2023,EMEA,PL,5363683.004,0.061343981,329029.6707,756768.2426,334873.0501
3/31/2023,Q1,2023,EMEA,PT,2144973.241,0.085887969,184227.3953,423723.0091,201252.5778
3/31/2023,Q1,2023,EMEA,QA,261800.9932,0,0,0,0
3/31/2023,Q1,2023,EMEA,RO,910889.8866,0.055434767,50494.96849,116138.4275,58980.87761
3/31/2023,Q1,2023,EMEA,RS,264962.9932,0,0,0,0
3/31/2023,Q1,2023,EMEA,SA,1223349.979,0.046923833,57404.27004,132029.8211,69362.99449
3/31/2023,Q1,2023,EMEA,SE,5572842.741,0.077297708,430767.9736,990766.3394,502944.2117
3/31/2023,Q1,2023,EMEA,SI,190022.9951,0,0,0,0
3/31/2023,Q1,2023,EMEA,SK,358104.9907,0.008108299,2903.6225,6678.331749,3820.043154
3/31/2023,Q1,2023,EMEA,TN,357778.9908,0,0,0,0
3/31/2023,Q1,2023,EMEA,TR,6292206.006,0.040930035,257540.2147,592342.4937,310071.9431
3/31/2023,Q1,2023,EMEA,UA,617285.9787,1.081880322,667829.5535,1536007.973,900033.2161
3/31/2023,Q1,2023,EMEA,ZA,681151.99,0.130737949,89052.41414,204820.5525,123458.3961
3/31/2023,Q1,2023,LATAM,AR,14617955.3,0.058642438,857232.538,1971634.837,811164.0746
3/31/2023,Q1,2023,LATAM,BR,47178697.83,0.085341734,4026311.875,9260517.312,4343383.823
3/31/2023,Q1,2023,LATAM,CL,6041818.277,0.061647481,372462.8755,856664.6137,379053.5515
